id;nombre_iniciativa;tipo_intent_negocio;tipo_intent_operativo;tipo_intent_capacidad_equipos;tipo_intent_tecnico_arquitectural;declaracion_intent;area_proponente;flujo_de_valor;metricas_de_exito;impacto_personas;datos_requeridos_ninguno;datos_requeridos_datos_publicos;datos_requeridos_datos_operativos;datos_requeridos_datos_personales;datos_requeridos_datos_confidenciales;datos_requeridos_otros;supuesto_riesgo;restricciones;sponsor;label;razonamiento;split
VAR-FG-R01;VAR-FG-R01;true;false;false;false;"Chatbot que accede a datos del cliente y responde en tiempo real con un LLM externo por homologar; escala a humano.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Clientes que interactuan; las respuestas influyen en sus decisiones. Criticidad alta.";false;false;false;true;false;false;El LLM externo sera homologado antes del lanzamiento.;"Cumplimiento Ley 25.326; evaluacion de seguridad del proveedor pendiente.";Gerente de Area (persona accountable);Rojo;"Rojo: datos personales, influye en decisiones del cliente y usa un LLM externo aun por homologar; mitigado por escalada a humano.";train
VAR-FG-R02;VAR-FG-R02;true;false;false;false;"Scoring crediticio con API externa por homologar; el analista registra la decision.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Clientes solicitantes; el score determina el acceso. Criticidad muy alta.";false;false;false;true;false;false;La API externa sera homologada antes de produccion.;"Cumplimiento BCRA y Ley 25.326; prohibido sesgo discriminatorio.";Gerente de Area (persona accountable);Rojo;"Rojo: condiciona el acceso a credito con una API externa por homologar; el analista registra la decision.";train
VAR-FG-R03;VAR-FG-R03;true;false;false;false;"Asistente de diagnostico que sugiere al medico con un modelo externo por homologar; el medico decide.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Pacientes; el sistema influye en el diagnostico. Criticidad muy alta.";false;false;false;true;false;false;Modelo externo por homologar.;"Datos de salud; cumplimiento regulatorio; el medico decide.";Gerente de Area (persona accountable);Rojo;"Rojo: influye en un diagnostico medico con un modelo externo por homologar; el medico decide.";train
VAR-FG-R04;VAR-FG-R04;true;false;false;false;"Agente de reclamos que aplica automaticamente compensaciones acotadas al catalogo aprobado por policy; escala a un agente humano solo si el reclamo no encaja en el catalogo.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Clientes con reclamos resueltos dentro del catalogo aprobado. Criticidad alta.;false;false;false;true;false;false;Accion autonoma acotada a un catalogo de resoluciones predefinido y aprobado.;"Cumplimiento Defensa del Consumidor; resoluciones limitadas al catalogo.";Gerente de Area (persona accountable);Rojo;"Rojo: resuelve reclamos de forma autonoma sin revision por caso, pero acotado a un catalogo de compensaciones aprobado; fuera del catalogo escala a humano.";train
VAR-FG-R05;VAR-FG-R05;true;false;false;false;Motor de recomendacion de inversiones que asesora al cliente via asesor, con LLM externo por homologar.;Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Clientes; influye en decisiones financieras. Criticidad muy alta.";false;false;false;true;false;false;LLM externo por homologar.;"Cumplimiento CNV y Ley 25.326; el asesor decide.";Gerente de Area (persona accountable);Rojo;"Rojo: influye en decisiones financieras del cliente con un LLM externo por homologar; el asesor decide.";train
VAR-FG-R06;VAR-FG-R06;true;false;false;false;"Chatbot legal que orienta al cliente con un modelo externo por homologar; el abogado revisa.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Clientes; influye en decisiones legales. Criticidad alta.";false;false;false;true;false;false;Modelo externo por homologar.;"Secreto profesional; el abogado revisa.";Gerente de Area (persona accountable);Rojo;"Rojo: influye en decisiones legales del cliente con un modelo externo por homologar; el abogado revisa.";train
VAR-FG-R07;VAR-FG-R07;true;false;false;false;"Sistema que ajusta automaticamente el limite de credito de clientes dentro de bandas de politica vigente, sin discrecionalidad fuera de ellas; log mensual revisable por el equipo de credito dentro de las 48 horas.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Clientes pospago cuyos limites se ajustan dentro de bandas aprobadas. Criticidad alta.;false;false;false;true;false;false;Ajuste autonomo acotado a bandas predefinidas, con revision sistematica del log dentro de 48hs.;"Cumplimiento BCRA; ajuste dentro de parametros de politica.";Gerente de Area (persona accountable);Rojo;"Rojo: ajusta limites de credito de forma autonoma sin revision por caso, pero acotado a bandas de politica con revision sistematica del log dentro de 48hs y reversible; el moderador de escalada lo mantiene en Rojo.";train
VAR-FG-R08;VAR-FG-R08;true;false;false;false;"Chatbot de autoatencion con datos del cliente y LLM externo por homologar; escala a humano.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Clientes; influye en decisiones sobre su plan. Criticidad alta.";false;false;false;true;false;false;LLM externo por homologar.;"Cumplimiento Ley 25.326; seguridad del proveedor pendiente.";Gerente de Area (persona accountable);Rojo;;val
VAR-FG-R09;VAR-FG-R09;true;false;false;false;"Evaluador de siniestros que recomienda al liquidador con proveedor externo por homologar; el liquidador decide.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Clientes; condiciona la cobertura. Criticidad alta.";false;false;false;true;false;false;Proveedor externo por homologar.;"Cumplimiento regulatorio; el liquidador decide.";Gerente de Area (persona accountable);Rojo;;val
VAR-FG-R10;VAR-FG-R10;true;false;false;false;"Asistente de cobranzas que define la estrategia hacia el cliente con LLM externo por homologar; el gestor decide.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Clientes con deuda; influye en la gestion. Criticidad alta.";false;false;false;true;false;false;LLM externo por homologar.;"Cumplimiento Defensa del Consumidor; el gestor decide.";Gerente de Area (persona accountable);Rojo;;val
VAR-FG-R11;VAR-FG-R11;false;true;false;false;"Agente que ejecuta automaticamente el alta de un nuevo cliente en el CRM y facturacion al verificar los criterios de elegibilidad, sin intervencion del operador; confirma el alta al cliente por email.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Nuevos clientes que solicitan el alta del servicio. Criticidad alta.;false;false;false;true;false;false;Alta autonoma sin revision previa por caso, pero es una accion favorable solicitada por el propio cliente.;"Cumplimiento Ley 25.326; alta dentro de los criterios de elegibilidad estandar.";Gerente de Area (persona accountable);Rojo;;val
VAR-FG-N01;VAR-FG-N01;true;false;false;false;Agente que ajusta automaticamente precios y descuentos de planes para mas del 10% de la base de clientes activos, segun parametros de mercado en tiempo real, sin bandas ni catalogo acotado.;Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Mas del 10% de la base de clientes activos. Criticidad muy alta.;false;false;false;true;false;false;Ajuste autonomo sin bandas ni catalogo predefinido, aplicado a escala sobre la base.;Cumplimiento regulatorio de comunicaciones comerciales y proteccion de datos.;Gerente de Area (persona accountable);Negro;"Negro: ajusta precios y descuentos de forma autonoma sobre mas del 10% de la base de clientes, sin bandas ni catalogo acotado ni revision por caso; alto impacto por escala.";train
VAR-FG-N02;VAR-FG-N02;false;true;false;false;"Agente que ejecuta cortes de servicio a clientes de forma autonoma segun un score de riesgo, sin aprobacion ni revision sistematica posterior; el corte no es reversible automaticamente.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Clientes cortados; perdida de acceso al servicio. Criticidad muy alta.";false;false;false;true;false;false;Corte de servicio (denegacion de acceso) autonomo, sin revision sistematica ni mecanismo de reversion.;Cumplimiento Ley de Defensa del Consumidor y ENACOM.;Gerente de Area (persona accountable);Negro;Negro: corta el servicio (denegacion de acceso, criterio de naturaleza) de forma autonoma sin revision sistematica ni reversion -- P5=Si y alto impacto por naturaleza (criterio b).;train
VAR-FG-N03;VAR-FG-N03;true;false;false;false;Sistema que aprueba y ejecuta reintegros a clientes automaticamente sin revision por caso.;Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Clientes con reintegros. Criticidad alta.;false;false;false;true;false;false;Ejecuta sin aprobacion previa por caso.;Cumplimiento Defensa del Consumidor.;Gerente de Area (persona accountable);Negro;Negro: aprueba y ejecuta reintegros de forma autonoma, sin revision humana por caso.;train
VAR-FG-N04;VAR-FG-N04;false;true;false;false;Agente que bloquea cuentas de clientes de forma autonoma ante senales de riesgo, sin revision previa.;Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Clientes bloqueados. Criticidad muy alta.;false;false;false;true;false;false;Bloqueo autonomo sin revision por caso.;Cumplimiento BCRA.;Gerente de Area (persona accountable);Negro;Negro: bloquea cuentas de clientes de forma autonoma ante senales de riesgo, sin revision previa.;train
VAR-FG-N05;VAR-FG-N05;true;false;false;false;Sistema que evalua el perfil de riesgo crediticio de cada cliente en tiempo real y aprueba o rechaza la solicitud de credito de forma automatica, notificando el resultado sin intervencion humana.;Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Clientes solicitantes; el sistema decide el acceso al credito en base a su perfil de riesgo. Criticidad muy alta.";false;false;false;true;false;false;Decision financiera (otorga o deniega acceso al credito) basada en perfilamiento automatizado, sin revision humana.;Cumplimiento BCRA y Ley 25.326.;Gerente de Area (persona accountable);Negro;"Negro: perfila automaticamente el riesgo crediticio y decide el acceso al credito (naturaleza financiera, criterio b; profiling, criterio e) sin revision -- P5=Si y alto impacto.";train
VAR-FG-N06;VAR-FG-N06;false;true;false;false;"Agente que detecta incumplimientos contractuales de clientes corporativos y ejecuta automaticamente la terminacion del contrato al superar el umbral definido, sin intervencion humana previa; la terminacion es irreversible.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Clientes corporativos con contrato terminado de forma permanente. Criticidad maxima.;false;false;false;true;false;false;Terminacion de contrato irreversible sin intervencion manual posterior, ejecutada de forma autonoma.;"Cumplimiento Ley de Defensa del Consumidor; validacion legal de umbrales.";Gerente de Area (persona accountable);Negro;Negro: termina contratos de forma autonoma e irreversible sin intervencion manual posterior -- P5=Si y alto impacto por irreversibilidad (criterio c).;train
VAR-FG-N07;VAR-FG-N07;false;true;false;false;Agente que perfila automaticamente el riesgo de abandono de cada cliente segun su comportamiento de consumo y ejecuta de forma autonoma ofertas de retencion vinculantes (descuentos contractuales) basadas en ese perfil, sin aprobacion por caso.;Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Clientes perfilados y con ofertas vinculantes aplicadas. Criticidad alta.;false;false;false;true;false;false;Perfilamiento automatizado del comportamiento del cliente que dispara acciones vinculantes autonomas, sin revision.;Cumplimiento Ley de Defensa del Consumidor y Ley 25.326.;Gerente de Area (persona accountable);Negro;Negro: perfila automaticamente el comportamiento del cliente (profiling, criterio e) y ejecuta ofertas vinculantes basadas en ese perfil sin revision -- P5=Si y alto impacto.;train
VAR-FG-N08;VAR-FG-N08;false;true;false;false;Agente que da de baja servicios de clientes automaticamente segun reglas de riesgo, sin revision previa.;Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Clientes dados de baja. Criticidad muy alta.;false;false;false;true;false;false;Baja autonoma sin revision por caso.;Cumplimiento regulatorio.;Gerente de Area (persona accountable);Negro;;val
VAR-FG-N09;VAR-FG-N09;true;false;false;false;Sistema que aplica penalidades a clientes y las ejecuta automaticamente sin intervencion humana.;Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Clientes penalizados. Criticidad alta.;false;false;false;true;false;false;Penalidad autonoma sin revision.;Cumplimiento Defensa del Consumidor.;Gerente de Area (persona accountable);Negro;;val
VAR-FG-N10;VAR-FG-N10;false;true;false;false;Agente que reasigna recursos criticos de produccion de forma autonoma con impacto en clientes, sin revision.;Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Clientes afectados por el servicio. Criticidad muy alta.;false;false;false;true;false;false;Reasignacion autonoma de alto impacto sin revision previa.;Cumplimiento regulatorio.;Gerente de Area (persona accountable);Negro;;val
VAR-FG-N11;VAR-FG-N11;true;false;false;false;Sistema que ejecuta ajustes de tarifa al cliente de forma automatica sin aprobacion por caso.;Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Clientes con cambios de tarifa. Criticidad alta.;false;false;false;true;false;false;Ajuste autonomo sin revision previa.;Cumplimiento Defensa del Consumidor y ENACOM.;Gerente de Area (persona accountable);Negro;;val
